originID,grade,type,start_time,end_time,lasting_time,o_lat,o_lon,d_lat,d_lon,dist (km)
'1978321956787507970',minor,CONGESTION,02/27/2022 08:38:31,02/27/2022 08:53:31,0:15:00,1.35259,103.85708,1.35346,103.85691,0.0980428569857294
'3022689104035183161',minor,CONGESTION,02/27/2022 08:54:46,02/27/2022 09:11:31,0:16:45,1.33085,103.81961,1.32931,103.82309,0.42307114644637117
'513303563370859403',minor,CONGESTION,02/27/2022 08:59:57,02/27/2022 09:14:57,0:15:00,1.35935,103.85778,1.36554,103.85996,0.7261834857985697
'2504641692000457412',minor,CONGESTION,02/27/2022 09:06:46,02/27/2022 09:19:31,0:12:45,1.31188,103.84481,1.31096,103.84453,0.10639451276340349
'25775238161916486',minor,CONGESTION,02/27/2022 09:20:01,02/27/2022 09:33:31,0:13:30,1.28215,103.86095,1.28168,103.86076,0.05610729456792048
'4675771198877483',minor,CONGESTION,02/27/2022 10:13:16,02/27/2022 10:27:31,0:14:15,1.28267,103.86115,1.28262,103.86113,0.005959977207446153
'1996088756829450149',minor,CONGESTION,02/27/2022 10:47:46,02/27/2022 11:01:31,0:13:45,1.31407,103.87498,1.31407,103.87498,0.0
'1432568237697174359',minor,CONGESTION,02/27/2022 11:08:49,02/27/2022 11:28:46,0:19:57,1.30837,103.84226,1.31524,103.84623,0.8787917103549042
'3367107226265922964',minor,CONGESTION,02/27/2022 14:54:46,02/27/2022 15:11:31,0:16:45,1.34546,103.73815,1.3466,103.73635,0.23668148286009488
'1350418828900028547',minor,CONGESTION,02/27/2022 17:10:16,02/27/2022 17:25:31,0:15:15,1.31356,103.87504,1.31319,103.87509,0.04128937822386672
'1947473070360172786',minor,CONGESTION,02/27/2022 20:07:50,02/27/2022 20:24:05,0:16:15,1.50789,103.60694,1.50757,103.60703,0.0367741060161686
'4420935540886600719',minor,CONGESTION,02/27/2022 20:19:10,02/27/2022 20:34:05,0:14:55,1.50714,103.60717,1.50603,103.60753,0.1291107820720394
'3316885426101289082',minor,CONGESTION,02/27/2022 20:30:50,02/27/2022 20:46:05,0:15:15,1.38326,103.59347,1.38215,103.59377,0.12719785536474365
'94271977129895897',minor,CONGESTION,02/27/2022 20:42:35,02/27/2022 21:02:05,0:19:30,1.38326,103.59347,1.38215,103.59377,0.12719785536474365
'1033810439960655263',minor,CONGESTION,02/27/2022 22:30:31,02/27/2022 22:45:32,0:15:01,1.35877,103.90297,1.35889,103.90304,0.015386782242889691
'260026474454253840',minor,CONGESTION,02/27/2022 22:56:57,02/27/2022 23:11:57,0:15:00,1.35223,103.8574,1.34714,103.85915,0.5955694799670505
'257478440572154765',minor,CONGESTION,02/27/2022 23:01:27,02/27/2022 23:16:27,0:15:00,1.32783,103.86872,1.32967,103.86402,0.5612386041944246
'4410764580153178052',minor,CONGESTION,02/27/2022 23:01:16,02/27/2022 23:13:31,0:12:15,1.3975,103.85609,1.39782,103.85475,0.15326448992264632
'4287430534829788157',minor,CONGESTION,02/27/2022 23:02:57,02/27/2022 23:32:57,0:30:00,1.35126,103.85769,1.34714,103.85915,0.4836765537283775
'2907101366841648023',minor,CONGESTION,02/27/2022 23:03:57,02/27/2022 23:18:57,0:15:00,1.31774,103.84989,1.31399,103.84546,0.6442082853786899
'2737774897049011620',minor,CONGESTION,02/27/2022 23:01:16,02/27/2022 23:15:31,0:14:15,1.39666,103.85069,1.39679,103.8513,0.06939009939219479
'1622540444527022726',minor,CONGESTION,02/27/2022 23:08:57,02/27/2022 23:23:57,0:15:00,1.36115,103.8586,1.35806,103.85752,0.36219990605834235
'2193722044260124655',minor,CONGESTION,02/27/2022 23:11:27,02/27/2022 23:26:27,0:15:00,1.32869,103.86682,1.32967,103.86402,0.32991544752435625
'365151939922292037',minor,CONGESTION,02/27/2022 23:14:27,02/27/2022 23:44:27,0:30:00,1.36681,103.94828,1.3627,103.95901,1.2776786841788954
'1077672202343844591',minor,CONGESTION,02/27/2022 23:16:57,02/27/2022 23:31:57,0:15:00,1.36199,103.85889,1.35806,103.85752,0.46052950373607615
'2773078294780525845',minor,CONGESTION,02/27/2022 23:23:27,02/27/2022 23:38:27,0:15:00,1.32814,103.86819,1.32967,103.86402,0.4939537956561235
'1382920743615177492',minor,CONGESTION,02/27/2022 23:22:50,02/27/2022 23:38:05,0:15:15,1.49709,103.78237,1.49738,103.78223,0.03565103287007759
'108141017138740967',minor,CONGESTION,02/27/2022 23:27:27,02/27/2022 23:42:27,0:15:00,1.41962,103.79977,1.4212,103.79728,0.32757893984788633
'1652836973985615199',minor,CONGESTION,02/27/2022 23:26:57,02/27/2022 23:41:57,0:15:00,1.36436,103.85975,1.35806,103.85752,0.7395078289111585
'1771925838633288838',minor,CONGESTION,02/27/2022 23:29:27,02/27/2022 23:59:27,0:30:00,1.32814,103.86819,1.32967,103.86402,0.4939537956561235
'4415836933054403378',minor,CONGESTION,02/27/2022 23:32:05,02/27/2022 23:46:05,0:14:00,1.47755,103.58851,1.47802,103.58941,0.11283536627288306
'2429528270984740656',minor,CONGESTION,02/27/2022 23:30:27,02/27/2022 23:45:27,0:15:00,1.35925,103.7017,1.35692,103.69964,0.34487039974079065
'4206191045847687975',minor,CONGESTION,02/27/2022 23:33:27,02/28/2022 00:33:27,1:00:00,1.33414,103.81809,1.33214,103.81627,0.2998874801483894
'4527589714193971261',minor,CONGESTION,02/27/2022 23:35:27,02/27/2022 23:50:27,0:15:00,1.38411,103.73879,1.38144,103.73567,0.4557663012146811
