model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
ridge,Capetown,145,1,6,"(457, 16)",306.0,151.0,1.130666277353857,0.0,0.14489633547058545,0.0,7
linearregression,Istanbul,175,1,6,"(212, 16)",142.0,70.0,0.8485140724263445,1.1102230246251565e-16,0.03950103950103967,0.0,7
randomforestregressor,Capetown,155,1,6,"(440, 16)",294.0,146.0,1.41847523647537,0.020481292599915296,0.20913100189457515,0.0230919286744947,7
ridge,Istanbul,175,1,6,"(212, 16)",142.0,70.0,0.851792597219796,1.1102230246251565e-16,0.03950103950103967,0.0,7
gradientboostingregressor,Capetown,155,1,6,"(440, 16)",294.0,146.0,1.3844455844579875,0.007993903272472534,0.161283359841228,0.006737123487515339,7
randomforestregressor,Istanbul,185,1,6,"(225, 16)",150.0,75.0,0.8927099837167132,0.03490872613505346,0.030434590025411663,0.05455889545647222,7
lasso,Capetown,155,1,6,"(440, 16)",294.0,146.0,1.5706718815621856,0.0,0.0,0.0,7
gradientboostingregressor,Istanbul,185,1,6,"(225, 16)",150.0,75.0,1.215320045107868,0.04673544673662006,-0.08860410252514526,0.0169726654888122,7
lasso,Istanbul,185,1,6,"(225, 16)",150.0,75.0,0.7537101594970357,1.1102230246251565e-16,0.0,0.0,7
linearregression,Capetown,155,1,6,"(440, 16)",294.0,146.0,1.4289911200775551,0.0,0.17542263664619817,0.0,7
linearregression,Istanbul,185,1,6,"(225, 16)",150.0,75.0,0.8185957464932302,0.0,0.15083477259643052,0.0,7
ridge,Capetown,155,1,6,"(440, 16)",294.0,146.0,1.4184861607541175,0.0,0.12749003984063734,0.0,7
ridge,Istanbul,185,1,6,"(225, 16)",150.0,75.0,0.8033016485829692,1.1102230246251565e-16,0.1329479768786127,0.0,7
randomforestregressor,Capetown,165,1,6,"(415, 16)",278.0,137.0,1.2152831276852456,0.022703256730103816,0.13059240852705775,0.03376837691456752,7
randomforestregressor,Istanbul,195,1,6,"(199, 16)",133.0,66.0,1.0852817726521553,0.04783627381022703,0.020618807046925775,0.0723604375921347,7
gradientboostingregressor,Capetown,165,1,6,"(415, 16)",278.0,137.0,1.2593764900577846,0.01517843869251667,0.1325567230768774,0.019696178050217467,7
gradientboostingregressor,Istanbul,195,1,6,"(199, 16)",133.0,66.0,1.0627004220197036,0.008523330597607794,0.19499350932780365,0.03229472493857818,7
lasso,Capetown,165,1,6,"(415, 16)",278.0,137.0,1.171050178754898,0.0,0.0,0.0,7
lasso,Istanbul,195,1,6,"(199, 16)",133.0,66.0,1.0939362962636805,0.0,0.0,0.0,7
linearregression,Capetown,165,1,6,"(415, 16)",278.0,137.0,1.0814452131459762,0.0,0.25013683634373285,0.0,7
linearregression,Istanbul,195,1,6,"(199, 16)",133.0,66.0,1.032990250874296,0.0,0.23222748815165883,0.0,7
ridge,Capetown,165,1,6,"(415, 16)",278.0,137.0,1.0798779846014683,2.220446049250313e-16,0.25013683634373285,0.0,7
ridge,Istanbul,195,1,6,"(199, 16)",133.0,66.0,1.0215070774381882,0.0,0.19687092568448494,0.0,7
randomforestregressor,Istanbul,205,1,6,"(196, 16)",131.0,65.0,1.2145777940464852,0.025706199196448613,0.05280606586738706,0.03058578902636851,7
gradientboostingregressor,Istanbul,205,1,6,"(196, 16)",131.0,65.0,1.2372278657263993,0.004898287142142211,-0.004311893639956876,0.0,7
lasso,Istanbul,205,1,6,"(196, 16)",131.0,65.0,1.0624970569467065,0.0,0.0,0.0,7
linearregression,Istanbul,205,1,6,"(196, 16)",131.0,65.0,5.850402877008302,8.881784197001252e-16,0.14797553160501029,2.7755575615628914e-17,7
ridge,Istanbul,205,1,6,"(196, 16)",131.0,65.0,1.0840202839671376,0.0,0.08817635270541069,0.0,7
randomforestregressor,Istanbul,215,1,6,"(189, 16)",126.0,63.0,1.6353248360728485,0.12565537365362997,-0.0020362924525537673,0.014988933962819837,7
gradientboostingregressor,Istanbul,215,1,6,"(189, 16)",126.0,63.0,1.4378845981471138,0.035308201596153554,0.11072773868330624,0.013237103353336834,7
lasso,Istanbul,215,1,6,"(189, 16)",126.0,63.0,0.9613881859297113,1.1102230246251565e-16,0.0,0.0,7
