NID,PC,DE,LE,TY,FF
477,1667,Avenida Colombia,0.05508,TR,23.0
478,1666,Carrera 27 52/Carrera 27 53,0.22327,TR,25.8
479,1665,Carrera 28,0.15431,TR,30.5
480,1664,Avenida Ciudad De Quito,0.1848,TR,42.9
481,1683,Transversal 85,0.03602,TR,26.0
482,1682,Carrera 77A,0.27793,TR,29.8
483,1681,Carrera 73A,0.4517,TR,33.6
484,1680,Carrera 72B,0.19911,TR,27.9
485,1679,Carrera 72ABIS,0.03809,TR,30.0
486,1678,Avenida Carrera 72,0.10744,TR,13.3
487,1677,Avenida De La Constitución,0.48091,TR,24.6
488,1677,Avenida De La Constitución,0.04231,TR,22.0
489,1678,Avenida Carrera 72,0.47073,TR,24.1
490,1679,Carrera 72ABIS,0.07625,TR,26.0
491,1680,Carrera 72B,0.03592,TR,34.0
492,1681,Carrera 73A,0.20111,TR,31.6
493,1682,Carrera 77A,0.45319,TR,36.5
494,1683,Transversal 85,0.31781,TR,31.4
495,1664,Avenida Ciudad De Quito,0.02701,TR,50.0
496,1665,Carrera 28,0.15779,TR,47.6
497,1666,Carrera 27 52/Carrera 27 53,0.15431,TR,26.1
498,1667,Avenida Colombia,0.22327,TR,27.7
